Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Andre Drummond\drumman01,25,79,2647,23.4,.555,.036,.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,,4.1,5.9,10.0,.181,,-0.7,3.6,2.9,3.3
2,Blake Griffin\griffbl01,29,75,2622,21.0,.581,.389,.410,4.0,20.1,11.8,27.1,1.0,0.9,13.8,30.2,,5.1,2.9,8.0,.147,,4.2,0.4,4.6,4.4
3,Reggie Jackson\jacksre01,28,82,2289,15.2,.547,.450,.225,2.1,8.5,5.2,24.7,1.2,0.3,11.4,24.5,,3.1,1.9,5.0,.105,,1.8,-2.0,-0.3,1.0
4,Langston Galloway\gallola01,27,80,1745,10.7,.534,.647,.164,3.0,7.9,5.4,7.3,1.0,0.4,3.7,16.1,,2.1,1.3,3.4,.094,,0.2,-1.6,-1.3,0.3
5,Bruce Brown\brownbr01,22,74,1449,6.9,.469,.296,.191,3.5,10.7,7.0,8.8,1.4,2.1,11.9,11.5,,-0.1,1.6,1.5,.048,,-3.7,1.7,-2.0,0.0
6,Luke Kennard\kennalu01,22,63,1437,11.9,.560,.517,.117,0.9,13.5,7.0,12.3,0.9,0.6,9.4,18.1,,1.3,1.3,2.5,.085,,-0.5,-1.0,-1.5,0.2
7,Reggie Bullock\bullore01,27,44,1355,11.0,.569,.667,.145,1.6,8.6,5.0,12.0,0.9,0.3,10.3,16.7,,1.4,1.0,2.4,.084,,0.7,-1.2,-0.5,0.5
8,Ish Smith\smithis01,30,56,1251,11.8,.485,.276,.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,,0.5,1.1,1.7,.064,,-1.7,-1.1,-2.8,-0.3
9,Stanley Johnson\johnsst04,22,48,961,9.8,.482,.519,.146,2.7,17.7,9.9,9.4,2.5,1.1,12.9,19.1,,-0.7,1.4,0.7,.034,,-3.0,0.9,-2.1,0.0
10,Zaza Pachulia\pachuza01,34,68,878,13.7,.539,.021,.642,11.9,21.5,16.5,14.7,1.7,1.6,18.7,15.0,,1.1,1.3,2.3,.128,,-2.1,2.4,0.2,0.5
11,Wayne Ellington\ellinwa01,31,28,764,12.5,.584,.795,.121,1.1,7.7,4.3,8.6,1.9,0.3,8.3,17.7,,0.9,0.7,1.6,.102,,1.7,-1.1,0.6,0.5
12,Jose Calderon\caldejo01,37,49,632,7.1,.453,.475,.092,1.8,8.8,5.2,24.9,1.2,0.4,21.9,10.9,,0.0,0.5,0.6,.043,,-4.0,-1.2,-5.1,-0.5
13,Glenn Robinson\robingl02,25,47,610,8.7,.511,.352,.227,2.9,10.0,6.4,5.1,1.1,1.1,8.5,15.0,,0.1,0.6,0.7,.054,,-3.5,-0.8,-4.2,-0.3
14,Thon Maker\makerth01,21,29,563,10.2,.514,.560,.351,4.5,16.5,10.3,6.7,1.0,5.0,13.4,13.7,,0.1,0.8,0.9,.075,,-3.0,2.5,-0.5,0.2
15,Jon Leuer\leuerjo01,29,41,402,13.2,.616,.097,.274,7.1,19.8,13.2,5.5,1.5,0.8,15.4,16.1,,0.4,0.5,0.9,.110,,-2.9,-0.1,-3.0,-0.1
16,Khyri Thomas\thomakh01,22,26,195,6.2,.413,.507,.159,2.2,9.3,5.6,6.0,1.8,2.2,5.1,17.2,,-0.2,0.2,0.0,.005,,-4.7,-0.5,-5.2,-0.2
17,Henry Ellenson\ellenhe01,22,2,25,14.8,.551,.400,.200,0.0,40.9,19.7,6.2,0.0,0.0,0.0,18.8,,0.0,0.0,0.1,.149,,-3.7,-2.9,-6.6,0.0
18,Sviatoslav Mykhailiuk\mykhasv01,21,3,20,9.8,.375,.500,.000,5.3,5.7,5.5,28.5,2.5,0.0,11.1,19.4,,0.0,0.0,0.0,.016,,-2.7,-2.0,-4.7,0.0
19,Kalin Lucas\lucaska01,29,1,6,16.6,.532,1.000,2.000,0.0,56.7,27.3,20.8,0.0,0.0,0.0,13.5,,0.0,0.0,0.0,.238,,-1.0,0.5,-0.6,0.0
20,Zach Lofton\loftoza01,26,1,4,-10.0,.000,1.000,.000,0.0,0.0,0.0,0.0,12.3,0.0,50.0,21.6,,-0.1,0.0,0.0,-0.447,,-17.0,8.1,-8.9,0.0
